,Lat,Long,prec,Date,Site_ID,tmin,tmax
84,-3.25,-61.25,416.16,2007-01-01,68,24.0,31.0
85,-3.25,-61.25,180.67,2007-02-01,68,24.0,32.0
86,-3.25,-61.25,429.14,2007-03-01,68,23.06,30.94
87,-3.25,-61.25,344.13,2007-04-01,68,24.0,30.25
88,-3.25,-61.25,190.71,2007-05-01,68,23.12,30.0
89,-3.25,-61.25,108.11,2007-06-01,68,23.06,31.0
90,-3.25,-61.25,113.29,2007-07-01,68,23.0,32.0
91,-3.25,-61.25,126.16,2007-08-01,68,23.06,32.0
92,-3.25,-61.25,78.02,2007-09-01,68,23.06,32.0
93,-3.25,-61.25,74.28,2007-10-01,68,23.0,32.0
94,-3.25,-61.25,205.29,2007-11-01,68,23.12,32.0
95,-3.25,-61.25,373.2,2007-12-01,68,23.0,31.56
96,-3.25,-61.25,418.48,2008-01-01,68,23.0,30.0
97,-3.25,-61.25,444.46,2008-02-01,68,23.06,30.0
98,-3.25,-61.25,426.98,2008-03-01,68,23.0,31.0
99,-3.25,-61.25,351.78,2008-04-01,68,23.38,31.0
100,-3.25,-61.25,257.89,2008-05-01,68,23.0,30.0
101,-3.25,-61.25,180.06,2008-06-01,68,23.0,30.12
102,-3.25,-61.25,75.78,2008-07-01,68,23.06,32.0
103,-3.25,-61.25,54.36,2008-08-01,68,23.81,33.0
104,-3.25,-61.25,84.86,2008-09-01,68,23.25,32.0
105,-3.25,-61.25,136.35,2008-10-01,68,23.38,32.0
106,-3.25,-61.25,175.31,2008-11-01,68,24.0,31.5
107,-3.25,-61.25,459.59,2008-12-01,68,23.0,31.0
108,-3.25,-61.25,436.5,2009-01-01,68,23.0,30.0
109,-3.25,-61.25,458.8,2009-02-01,68,23.0,30.0
110,-3.25,-61.25,454.52,2009-03-01,68,23.0,30.38
111,-3.25,-61.25,300.67,2009-04-01,68,23.19,31.0
112,-3.25,-61.25,159.99,2009-05-01,68,23.0,30.0
113,-3.25,-61.25,226.11,2009-06-01,68,23.06,30.0
114,-3.25,-61.25,77.26,2009-07-01,68,23.06,32.0
115,-3.25,-61.25,52.64,2009-08-01,68,25.0,32.31
116,-3.25,-61.25,34.69,2009-09-01,68,24.06,34.0
117,-3.25,-61.25,95.29,2009-10-01,68,24.0,33.0
118,-3.25,-61.25,140.16,2009-11-01,68,24.06,33.5
119,-3.25,-61.25,274.76,2009-12-01,68,24.0,32.0
120,-3.25,-61.25,407.29,2020-01-01,68,24.06,32.0
121,-3.25,-61.25,273.6,2020-02-01,68,25.0,32.0
122,-3.25,-61.25,389.12,2020-03-01,68,25.0,32.0
123,-3.25,-61.25,322.25,2020-04-01,68,24.06,30.0
124,-3.25,-61.25,319.92,2020-05-01,68,24.0,30.0
125,-3.25,-61.25,204.05,2020-06-01,68,24.06,31.0
126,-3.25,-61.25,68.57,2020-07-01,68,24.0,32.0
127,-3.25,-61.25,36.02,2020-08-01,68,24.06,33.0
128,-3.25,-61.25,147.49,2020-09-01,68,24.06,33.0
129,-3.25,-61.25,128.68,2020-10-01,68,24.0,32.0
130,-3.25,-61.25,352.54,2020-11-01,68,24.06,32.0
131,-3.25,-61.25,486.56,2020-12-01,68,23.56,31.56
132,-3.25,-61.25,271.42,2021-01-01,68,23.06,30.0
133,-3.25,-61.25,349.21,2021-02-01,68,24.0,32.0
134,-3.25,-61.25,541.28,2021-03-01,68,23.06,30.0
135,-3.25,-61.25,257.46,2021-04-01,68,24.06,30.88
136,-3.25,-61.25,216.72,2021-05-01,68,24.06,30.0
137,-3.25,-61.25,237.87,2021-06-01,68,24.0,31.0
138,-3.25,-61.25,148.87,2021-07-01,68,24.0,31.0
139,-3.25,-61.25,137.59,2021-08-01,68,24.06,33.0
140,-3.25,-61.25,52.25,2021-09-01,68,24.0,32.0
141,-3.25,-61.25,165.23,2021-10-01,68,24.0,32.0
142,-3.25,-61.25,244.66,2021-11-01,68,24.0,31.0
143,-3.25,-61.25,233.55,2021-12-01,68,24.0,30.56
144,-3.25,-61.25,312.92,2010-01-01,68,24.0,32.0
145,-3.25,-61.25,346.3,2010-02-01,68,24.06,31.0
146,-3.25,-61.25,326.48,2010-03-01,68,24.0,32.0
147,-3.25,-61.25,378.1,2010-04-01,68,24.0,30.0
148,-3.25,-61.25,204.67,2010-05-01,68,24.06,31.0
149,-3.25,-61.25,137.41,2010-06-01,68,23.69,31.0
150,-3.25,-61.25,99.58,2010-07-01,68,23.25,31.0
151,-3.25,-61.25,44.56,2010-08-01,68,24.0,32.38
152,-3.25,-61.25,52.72,2010-09-01,68,24.06,33.5
153,-3.25,-61.25,102.71,2010-10-01,68,23.44,33.0
154,-3.25,-61.25,138.66,2010-11-01,68,24.0,32.0
155,-3.25,-61.25,315.36,2010-12-01,68,23.0,32.0
156,-3.25,-61.25,313.0,2011-01-01,68,23.06,30.0
157,-3.25,-61.25,464.73,2011-02-01,68,23.0,30.0
158,-3.25,-61.25,292.91,2011-03-01,68,23.25,30.0
159,-3.25,-61.25,394.47,2011-04-01,68,23.38,30.0
160,-3.25,-61.25,207.64,2011-05-01,68,24.0,30.0
161,-3.25,-61.25,113.76,2011-06-01,68,24.0,31.0
162,-3.25,-61.25,45.21,2011-07-01,68,24.0,32.0
163,-3.25,-61.25,57.48,2011-08-01,68,24.0,33.0
164,-3.25,-61.25,77.04,2011-09-01,68,24.0,33.0
165,-3.25,-61.25,157.4,2011-10-01,68,24.0,32.0
166,-3.25,-61.25,205.41,2011-11-01,68,24.0,31.0
167,-3.25,-61.25,196.01,2011-12-01,68,24.0,32.0
168,-3.25,-61.25,434.13,2012-01-01,68,23.06,30.0
169,-3.25,-61.25,439.15,2012-02-01,68,23.06,29.62
170,-3.25,-61.25,293.89,2012-03-01,68,24.0,30.0
171,-3.25,-61.25,244.11,2012-04-01,68,24.0,30.0
172,-3.25,-61.25,163.98,2012-05-01,68,24.0,31.0
173,-3.25,-61.25,75.92,2012-06-01,68,24.0,31.0
174,-3.25,-61.25,102.15,2012-07-01,68,24.0,31.0
175,-3.25,-61.25,53.83,2012-08-01,68,23.81,32.81
176,-3.25,-61.25,79.64,2012-09-01,68,24.0,33.0
177,-3.25,-61.25,151.04,2012-10-01,68,24.0,33.0
178,-3.25,-61.25,208.54,2012-11-01,68,24.06,33.0
179,-3.25,-61.25,300.97,2012-12-01,68,23.62,31.0
180,-3.25,-61.25,289.4,2013-01-01,68,24.0,31.0
181,-3.25,-61.25,448.34,2013-02-01,68,24.0,30.0
